BASE 22 3  M = 132  ds = [ 1, 2, 3, 4, 6, 11, 12, 22, 33, 44, 66, 132 ]
#isotropic = 5 (2N-1 = 5)
#cosets = 288
#monomials = 132
3460361/1782>, <58, 22795321/26136>, <59, -1466148/121>, <116, -139349/33>, 
<117, 14253103/17424>, <60, 151511/1089>, <61, -93223/242>, <118, -37366/121>, 
<62, -7855/363>, <63, 1104247747/8712>, <119, 983/242>, <64, 20899991/13068>, 
<120, 16936195/8712>, <65, 5191207/48>, <66, 28118075/26136>, <67, 
-117115523/3168>, <68, -225522665/3168>, <121, 31609313/17424>, <69, 
109789003/104544>, <70, -27748621/9504>, <71, 7538757685/34848>, <122, 
-13858451/11616>, <72, -1104235405/8712>, <123, -8648891/34848>, <73, 
-58453831/104544>, <74, -5220067/3267>, <124, 163291757/34848>, <125, 
-16935469/8712>, <75, 321131957/34848>, <76, 556384475/5808>, <77, 
7826009/11616>, <78, -2875984295/34848>, <79, -1492642433/34848>, <80, 
-7124053/52272>, <126, -3162259/34848>, <81, 21930695/9504>, <82, 
-292667587/104544>, <127, 11787403/5808>, <128, -255469/96>, <129, 
10128455/34848>, <83, 31270763/792>, <84, -15722095/26136>, <85, 
-2975390261/17424>, <130, 3101225/2904>, <86, -124417925/52272>, <131, 
-43974049/17424>, <87, -2181558245/104544>, <88, -397300903/313632>, <132, 
3475601/34848> ]
FORMC 12 [ <1, 883/363>, <2, -87/242>, <3, -39/242>, <4, -59/242>, <89, 
-15/121>, <90, 12/121>, <5, 581/66>, <6, 8423/198>, <7, -5095/198>, <8, 
12973/44>, <9, 51/11>, <10, -17251/33>, <91, 221/132>, <11, 29039/132>, <92, 
-50/33>, <12, -3811/132>, <93, -1171/44>, <94, 1233/44>, <13, -213/484>, <14, 
161/484>, <95, -13/484>, <15, -661/44>, <16, 3271/484>, <96, -49/242>, <17, 
131561/198>, <18, 21445/198>, <19, 329/33>, <97, -1418/33>, <20, 16969/396>, 
<21, 1236863/792>, <98, -985/132>, <22, 14413/72>, <99, -22243/264>, <23, 
-341357/4356>, <24, -637261/968>, <25, -1535/1089>, <26, -349847/2904>, <100, 
499/726>, <101, 45977/968>, <27, -361756/297>, <28, -2354575/792>, <29, 
-44273/396>, <30, -147283/264>, <31, 7693793/792>, <32, 141887/33>, <102, 
4999/132>, <103, 16371/88>, <33, 413863/264>, <34, 30347/132>, <104, -50487/88>,
