AVAIL = [ -2, -1, 8, 9, 10, 11, 12, 13, 14 ]
USED KEYS = [ -2, -1, 9, 10, 11, 12, 13, 14 ]
MONO 191 [ -173, 87, 0, 57, 56, -28, -27, 0, 0, 60, -29, -2 ]
MONO 192 [ -173, 87, 0, 57, 58, -29, -30, 1, 1, 54, -21, -4 ]
MONO 193 [ -173, 87, 0, 57, 60, -29, -31, 1, 2, 56, -26, -3 ]
MONO 194 [ -173, 87, 0, 57, 60, -28, -29, 0, 0, 56, -27, -2 ]
MONO 195 [ -173, 87, 0, 58, 57, -29, -29, 0, 1, 58, -28, -1 ]
MONO 196 [ -173, 88, -1, 56, 57, -27, -29, 2, 1, 56, -27, -2 ]
MONO 197 [ -173, 88, -1, 56, 57, -27, -28, 0, 2, 56, -26, -3 ]
MONO 198 [ -173, 88, -1, 59, 57, -30, -28, 2, 0, 55, -25, -3 ]
MONO 199 [ -173, 89, 0, 56, 57, -27, -28, 0, 0, 56, -27, -2 ]
MONO 200 [ -172, 85, 1, 54, 56, -22, -28, -1, 1, 56, -26, -3 ]
MONO 201 [ -172, 86, 0, 54, 56, -23, -27, 0, 0, 56, -27, -2 ]
MONO 202 [ -172, 86, 0, 56, 56, -27, -28, 0, 1, 58, -28, -1 ]
MONO 203 [ -172, 86, 0, 56, 56, -26, -26, -1, -1, 58, -29, 0 ]
MONO 204 [ -172, 86, 0, 56, 57, -27, -28, 0, 0, 59, -28, -2 ]
MONO 205 [ -172, 86, 0, 56, 61, -27, -30, 0, 0, 55, -26, -2 ]
MONO 206 [ -172, 86, 0, 57, 56, -28, -27, 0, 0, 55, -24, -2 ]
MONO 207 [ -172, 86, 0, 57, 57, -29, -29, 1, 1, 56, -23, -4 ]
MONO 208 [ -172, 86, 0, 57, 57, -29, -28, 3, 0, 56, -26, -3 ]
MONO 209 [ -172, 86, 0, 58, 58, -29, -29, 0, 0, 54, -23, -2 ]
MONO 210 [ -172, 87, -1, 57, 57, -31, -29, 5, 1, 56, -26, -3 ]
MONO 211 [ -172, 90, -2, 57, 57, -29, -29, 1, 1, 56, -27, -2 ]
MONO 212 [ -171, 84, 1, 52, 56, -17, -28, -4, 1, 57, -28, -2 ]
MONO 213 [ -170, 85, 1, 56, 56, -28, -27, 1, 0, 56, -27, -2 ]
MONO 214 [ -170, 89, -2, 56, 56, -28, -28, 0, 0, 56, -28, 0 ]
MONO 215 [ -169, 85, 0, 57, 56, -29, -29, 1, 2, 56, -26, -3 ]
MONO 216 [ -169, 85, 0, 57, 56, -28, -27, 0, 0, 56, -27, -2 ]
MONO 217 [ -168, 84, 0, 55, 55, -26, -26, 0, 0, 56, -27, -2 ]
MONO 218 [ -168, 84, 0, 56, 55, -28, -27, 1, 1, 53, -22, -4 ]
MONO 219 [ -168, 84, 1, 56, 55, -28, -29, 0, 2, 53, -20, -5 ]
MONO 220 [ -168, 85, -1, 55, 55, -29, -29, 3, 3, 56, -26, -3 ]
MONO 221 [ -168, 85, 0, 55, 55, -27, -27, 0, 0, 56, -26, -2 ]
MONO 222 [ -168, 85, 0, 56, 54, -28, -26, 0, 0, 52, -22, -2 ]
