AVAIL = [ -2, -1, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66 ]
USEDKEYS -2,-1,
MONO 12 [ -2, 4, 1, -1, -1, -1, 1, 3, 0, -1, 2, -2, -2, 0, -3, -1, 3, 3, -1, 1, 2, 4, 5, -13 ]
MONO 13 [ -2, 4, 1, -1, 0, -2, 1, 1, 2, -1, 0, -2, -2, 0, -3, 0, 2, 7, -4, 3, 0,9, 12, -24 ]
MONO 14 [ -2, 4, 1, -1, 0, -2, 2, 0, 2, -2, -1, 0, -1, 1, 1, 1, -1, 3, -4, 4, 0,8, 11, -23 ]
MONO 15 [ -2, 4, 1, -1, 0, -1, 1, 1, 0, -1, 0, -2, -2, 0, -2, 0, 3, 5, -2, 1, 0,5, 7, -14 ]
MONO 16 [ -2, 4, 1, -1, 0, -1, 2, 0, 0, -2, -1, 0, -1, 1, 2, 1, 0, 1, -2, 2, 0, 4, 6, -13 ]
MONO 17 [ -2, 4, 1, -1, 1, -3, -1, 0, 3, 2, -1, -1, 1, -1, 0, 1, -2, 4, -6, 4, -2, 9, 16, -25 ]
MONO 18 [ -2, 4, 1, -1, 1, -2, -1, 0, 1, 2, -1, -1, 1, -1, 1, 1, -1, 2, -4, 2, -2, 5, 11, -15 ]
MONO 19 [ -2, 4, 1, -1, 1, -2, 0, -2, 2, 1, -2, 0, 0, -1, 4, -1, -2, 2, -2, 5, 1, 8, 10, -23 ]
MONO 20 [ -2, 4, 1, -1, 1, -2, 0, -1, 2, 1, 0, 1, 0, -1, -2, 0, -2, 4, -5, 5, 0,10, 12, -24 ]
MONO 21 [ -2, 4, 1, -1, 1, -1, 0, -2, 0, 1, -2, 0, 0, -1, 5, -1, -1, 0, 0, 3, 1,4, 5, -13 ]
MONO 22 [ -2, 4, 1, -1, 1, -1, 0, -1, 0, 1, 0, 1, 0, -1, -1, 0, -1, 2, -3, 3, 0,6, 7, -14 ]
MONO 23 [ -1, 0, 0, 3, 0, 0, 1, 2, 0, 1, 0, -2, 0, -2, -3, 0, -3, 6, -4, 6, 0, 9, 12, -24 ]
MONO 24 [ -1, 0, 0, 3, 0, 1, 1, 2, -2, 1, 0, -2, 0, -2, -2, 0, -2, 4, -2, 4, 0, 5, 7, -14 ]
MONO 25 [ -1, 0, 1, 1, 2, 0, 0, -1, 1, 1, 0, 0, -1, -1, -2, -1, 0, 4, -3, 4, 2, 8, 10, -23 ]
MONO 26 [ -1, 0, 1, 1, 2, 0, 1, 0, 1, 0, -1, -1, -1, -1, -2, 0, -1, 5, -5, 5, -1, 9, 15, -25 ]
MONO 27 [ -1, 0, 1, 1, 2, 1, 0, -1, -1, 1, 0, 0, -1, -1, -1, -1, 1, 2, -1, 2, 2,4, 5, -13 ]
MONO 28 [ -1, 0, 1, 1, 2, 1, 1, 0, -1, 0, -1, -1, -1, -1, -1, 0, 0, 3, -3, 3, -1, 5, 10, -15 ]
MONO 29 [ -1, 1, 2, 0, -1, -2, 0, 2, 2, 0, 0, 0, 1, 0, -1, 1, -3, 3, -6, 5, -2, 9, 16, -25 ]
MONO 30 [ -1, 1, 2, 0, -1, -2, 2, 4, 2, -1, 0, -1, -1, 0, -3, -1, -2, 4, -3, 5, 0, 8, 13, -24 ]
MONO 31 [ -1, 1, 2, 0, -1, -1, -1, 3, 1, 3, 0, -2, 1, -2, -3, 0, -4, 6, -4, 6, 0, 9, 12, -24 ]
MONO 32 [ -1, 1, 2, 0, -1, -1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1, -2, 1, -4, 3, -2, 5, 11, -15 ]
