[SIG] 6 29 sgn=1   diag=[ -1302, 290/217, -174/5 ] det=60552 signature=(1,2)
[DIFF] 6 29 sgn=-1  m=264  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=266  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=269  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=272  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=274  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=275  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=278  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=281  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=284  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=287  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=288  finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=290  finite_fail=[ 2, 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=293  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=296  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=299  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=302  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=305  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=306  finite_fail=[ 2 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=308  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=311  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=314  finite_fail=[ 3 ] arch_fail=false
[DIFF] 6 29 sgn=-1  m=315  finite_fail=[ 3 ] arch_fail=false
